year,province,production_barrels,water_cut,active_wells,oil_price,production_per_well,estimated_oil_value
2015,Manitoba,1600000,0.62,1300,70,1230.7692307692307,112000000
2016,Manitoba,1580000,0.63,1280,55,1234.375,86900000
2017,Manitoba,1520000,0.64,1250,60,1216.0,91200000
2018,Manitoba,1500000,0.65,1200,65,1250.0,97500000
2019,Manitoba,1450000,0.67,1180,60,1228.8135593220338,87000000
2020,Manitoba,1300000,0.7,1100,45,1181.8181818181818,58500000
2021,Manitoba,1350000,0.68,1120,70,1205.357142857143,94500000
2022,Manitoba,1400000,0.66,1150,85,1217.391304347826,119000000
2023,Manitoba,1420000,0.65,1175,80,1208.5106382978724,113600000
2015,Alberta,12000000,0.5,50000,70,240.0,840000000
2016,Alberta,11800000,0.51,49000,55,240.81632653061226,649000000
2017,Alberta,12500000,0.52,49500,60,252.5252525252525,750000000
2018,Alberta,13000000,0.53,51000,65,254.90196078431373,845000000
2019,Alberta,12800000,0.54,50500,60,253.46534653465346,768000000
2020,Alberta,11500000,0.56,48000,45,239.58333333333334,517500000
2021,Alberta,11800000,0.55,48500,70,243.29896907216494,826000000
2022,Alberta,12200000,0.54,49000,85,248.9795918367347,1037000000
2023,Alberta,12500000,0.53,49500,80,252.5252525252525,1000000000
2015,Saskatchewan,5000000,0.58,20000,70,250.0,350000000
2016,Saskatchewan,4800000,0.59,19500,55,246.15384615384616,264000000
2017,Saskatchewan,4900000,0.6,19800,60,247.4747474747475,294000000
2018,Saskatchewan,4950000,0.61,20000,65,247.5,321750000
2019,Saskatchewan,4800000,0.62,19800,60,242.42424242424244,288000000
2020,Saskatchewan,4500000,0.64,19000,45,236.8421052631579,202500000
2021,Saskatchewan,4600000,0.63,19200,70,239.58333333333334,322000000
2022,Saskatchewan,4700000,0.62,19500,85,241.02564102564102,399500000
2023,Saskatchewan,4800000,0.61,19800,80,242.42424242424244,384000000
