Year,Province,Production_Barrels,Water_Cut,Active_Wells,Oil_Price
2015,Manitoba,1600000,0.62,1300,70
2016,Manitoba,1580000,0.63,1280,55
2017,Manitoba,1520000,0.64,1250,60
2018,Manitoba,1500000,0.65,1200,65
2019,Manitoba,1450000,0.67,1180,60
2020,Manitoba,1300000,0.70,1100,45
2021,Manitoba,1350000,0.68,1120,70
2022,Manitoba,1400000,0.66,1150,85
2023,Manitoba,1420000,0.65,1175,80
2015,Alberta,12000000,0.50,50000,70
2016,Alberta,11800000,0.51,49000,55
2017,Alberta,12500000,0.52,49500,60
2018,Alberta,13000000,0.53,51000,65
2019,Alberta,12800000,0.54,50500,60
2020,Alberta,11500000,0.56,48000,45
2021,Alberta,11800000,0.55,48500,70
2022,Alberta,12200000,0.54,49000,85
2023,Alberta,12500000,0.53,49500,80
2015,Saskatchewan,5000000,0.58,20000,70
2016,Saskatchewan,4800000,0.59,19500,55
2017,Saskatchewan,4900000,0.60,19800,60
2018,Saskatchewan,4950000,0.61,20000,65
2019,Saskatchewan,4800000,0.62,19800,60
2020,Saskatchewan,4500000,0.64,19000,45
2021,Saskatchewan,4600000,0.63,19200,70
2022,Saskatchewan,4700000,0.62,19500,85
2023,Saskatchewan,4800000,0.61,19800,80
